Date,Narration,Chq/Ref No,Value Dt,Withdrawal Amt,Deposit Amt,Closing Balance
01/08/2026,UPI/523412341234/SWIGGY/swiggy@icici/Order123,UPI-523412,01/08/2026,450.00,,12550.00
02/08/2026,NETFLIX RECURRING SUBSCRIPTION,POS-998811,02/08/2026,649.00,,11901.00
05/08/2026,SALARY CREDIT FROM ACME TECH LABS,ACH-987654,05/08/2026,,85000.00,96901.00
08/08/2026,UBER INDIA RIDES TRIP BLR-491,POS-123456,08/08/2026,380.50,,96520.50
10/08/2026,AMAZON PAY INDIA PURCHASE,POS-443322,10/08/2026,2499.00,,94021.50
12/08/2026,BESCOM ELECTRICITY BILL BANGALORE,BILL-77621,12/08/2026,1850.00,,92171.50
15/08/2026,UPSTOX DIVIDEND CREDIT TCS LTD,NEFT-88112,15/08/2026,,3200.00,95371.50
18/08/2026,SHELL PETROL PUMP FUEL KORAMANGALA,POS-77441,18/08/2026,1500.00,,93871.50
20/08/2026,ZOMATO DINING OUT BANGALORE,UPI-991122,20/08/2026,1240.00,,92631.50
22/08/2026,FREELANCE PAYMENT CONSULTING UI/UX,IMPS-33441,,15000.00,,107631.50
